wrapperType	collectionType	artistId	collectionId	amgArtistId	artistName	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate	primaryGenreName
collection	Album	518462	1434914801	52456	Louis Armstrong	All Time Greatest Hits	All Time Greatest Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/all-time-greatest-hits/1434914801?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3f/78/d3/3f78d30d-1c44-4c8f-9481-a31430f525df/06UMGIM02666.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3f/78/d3/3f78d30d-1c44-4c8f-9481-a31430f525df/06UMGIM02666.rgb.jpg/100x100bb.jpg	10.99	notExplicit	18	A Geffen Records Release; This Compilation ℗ 1994 UMG Recordings, Inc.	USA	USD	1994-01-01T08:00:00Z	Pop
collection	Album	518462	193896088	52456	Louis Armstrong	The Essential Louis Armstrong	The Essential Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-essential-louis-armstrong/193896088?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/c1/d1/00/mzi.scvunyuo.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/c1/d1/00/mzi.scvunyuo.jpg/100x100bb.jpg	14.99	notExplicit	37	℗ Recorded Prior To 1972. All Rights Reserved by BMG Music, Originally Released 1925-1931, 1954, 1955, 1957, 2004 Sony Music Entertainment Inc.	USA	USD	1979-12-28T08:00:00Z	Jazz
collection	Album	73568	1445666702	6503	Ella Fitzgerald & Louis Armstrong	Ella & Louis Christmas	Ella & Louis Christmas	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-louis-christmas/1445666702?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/16/a2/75/16a27533-9fc4-843b-c8d3-d81a377a2395/16UMGIM78399.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/16/a2/75/16a27533-9fc4-843b-c8d3-d81a377a2395/16UMGIM78399.rgb.jpg/100x100bb.jpg	9.99	notExplicit	20	This Compilation ℗ 2016 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2016-11-25T08:00:00Z	Holiday
collection	Album	518462	201274363	52456	Louis Armstrong	The Best of the Hot 5 & Hot 7 Recordings	The Best of the Hot 5 & Hot 7 Recordings	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-best-of-the-hot-5-hot-7-recordings/201274363?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/54/10/9d/mzi.tzqujtgu.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/54/10/9d/mzi.tzqujtgu.jpg/100x100bb.jpg	9.99	notExplicit	18	℗ Originally Released 1926, 1927, 1928, 1929, 1940, (P) 2002 Sony Music Entertainment Inc.	USA	USD	2002-07-30T07:00:00Z	Jazz
collection	Album	73568	1431066643	6503	Ella Fitzgerald & Louis Armstrong	The Best Of Ella Fitzgerald And Louis Armstrong On Verve	The Best Of Ella Fitzgerald And Louis Armstrong On Verve	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/the-best-of-ella-fitzgerald-and-louis-armstrong-on-verve/1431066643?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/ad/b2/88/adb2880e-3aba-9537-7437-21f224c9a659/06UMGIM06164.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/ad/b2/88/adb2880e-3aba-9537-7437-21f224c9a659/06UMGIM06164.rgb.jpg/100x100bb.jpg	9.99	notExplicit	15	A Verve Label Group release; This Compilation ℗ 1997 UMG Recordings, Inc.	USA	USD	1997-08-20T07:00:00Z	Jazz
collection	Album	518462	1425235202	52456	Louis Armstrong	20th Century Masters: The Best of Louis Armstrong - The Millennium Collection	20th Century Masters: The Best of Louis Armstrong - The Millennium Collection	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/20th-century-masters-the-best-of-louis/1425235202?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/32/48/63324851-4d3e-834d-4702-f3c727ea3926/06UMGIM02669.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/32/48/63324851-4d3e-834d-4702-f3c727ea3926/06UMGIM02669.rgb.jpg/100x100bb.jpg	8.99	notExplicit	10	A Geffen Records Release; This Compilation ℗ 1999 UMG Recordings, Inc.	USA	USD	1999-03-16T08:00:00Z	Jazz
collection	Album	518462	696523069	52456	Louis Armstrong & Duke Ellington	The Great Summit: The Master Tapes (Remastered)	The Great Summit: The Master Tapes (Remastered)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-summit-the-master-tapes-remastered/696523069?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a7/43/0c/a7430c58-f4c6-36ff-8559-ead584472f55/0724352454754_1772x1772_300dpi.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a7/43/0c/a7430c58-f4c6-36ff-8559-ead584472f55/0724352454754_1772x1772_300dpi.jpg/100x100bb.jpg	9.99	notExplicit	17	℗ 2000 Parlophone Records Ltd, a Warner Music Group Company	USA	USD	2001-01-08T08:00:00Z	Jazz
collection	Album	73568	1469584174	6503	Ella Fitzgerald & Louis Armstrong	Ella and Louis	Ella and Louis	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-and-louis/1469584174?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ac/4b/53/ac4b5314-43aa-666b-43b2-845117e9c402/06UMGIM08714.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ac/4b/53/ac4b5314-43aa-666b-43b2-845117e9c402/06UMGIM08714.rgb.jpg/100x100bb.jpg	9.99	notExplicit	11	℗ 2011 UMG Recordings, Inc.	USA	USD	1956-10-01T08:00:00Z	Jazz
collection	Album	518462	1440787250	52456	Louis Armstrong	What a Wonderful World	What a Wonderful World	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/what-a-wonderful-world/1440787250?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/14/ef/1414ef36-705a-4483-d7fc-ca636f2cb137/12UMGIM11012.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/14/ef/1414ef36-705a-4483-d7fc-ca636f2cb137/12UMGIM11012.rgb.jpg/100x100bb.jpg	9.99	notExplicit	11	This Compilation ℗ 1968 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1968-01-01T08:00:00Z	Jazz
collection	Album	518462	1644157235	52456	Louis Armstrong	Louis Wishes You a Cool Yule	Louis Wishes You a Cool Yule	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-wishes-you-a-cool-yule/1644157235?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/2a/af/6d/2aaf6db6-1757-9599-97c1-8b0708980d48/22UM1IM00901.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/2a/af/6d/2aaf6db6-1757-9599-97c1-8b0708980d48/22UM1IM00901.rgb.jpg/100x100bb.jpg	11.99	notExplicit	11	A Verve Records release; This Compilation ℗ 2022 Verve Label Group, a Division of UMG Recordings, Inc.	USA	USD	2022-10-28T07:00:00Z	Holiday
